embed_dim,dropout,modality_dropout,lr,weight_decay,batch_size,num_layers,val_f1_macro,val_acc,best_epoch
224,0.25,0.0,0.0003,0.01,16,2,0.51001221001221,0.5555555555555556,7
160,0.15,0.0,0.001,0.0001,64,4,0.5049319727891156,0.5444444444444444,6
192,0.25,0.15,0.0001,0.0001,16,3,0.5016534391534392,0.5777777777777777,2
224,0.25,0.0,0.001,0.001,64,4,0.4988813915129704,0.5888888888888889,2
160,0.15,0.15,0.001,0.0001,32,2,0.49815380697733636,0.5444444444444444,12
224,0.25,0.0,0.0003,0.01,32,2,0.4899961494031575,0.5333333333333333,17
224,0.25,0.15,0.0001,0.01,32,2,0.4793697376235894,0.5111111111111111,23
160,0.25,0.25,0.001,0.001,32,4,0.4789285040558385,0.5111111111111111,8
160,0.15,0.15,0.0003,0.001,32,4,0.47782913884608796,0.5111111111111111,12
160,0.15,0.15,0.0003,0.0001,32,3,0.47782913884608796,0.5111111111111111,12
192,0.25,0.25,0.001,0.01,32,4,0.4703996486605182,0.5,13
192,0.25,0.0,0.0003,0.01,32,3,0.46794475365903937,0.5111111111111111,10
192,0.15,0.25,0.0001,0.01,64,3,0.4636243386243386,0.5666666666666667,1
160,0.25,0.25,0.0003,0.0001,64,2,0.4631514930365505,0.4777777777777778,7
160,0.25,0.15,0.0003,0.01,32,4,0.45849349742515494,0.4666666666666667,9
192,0.15,0.25,0.001,0.0001,32,4,0.4563074645472962,0.4777777777777778,12
192,0.15,0.25,0.001,0.01,32,3,0.4563074645472962,0.4777777777777778,12
192,0.15,0.15,0.001,0.01,32,3,0.4563074645472962,0.4777777777777778,12
160,0.25,0.15,0.0001,0.01,32,4,0.45549945549945553,0.4777777777777778,8
224,0.35,0.15,0.0003,0.001,64,4,0.45395368465474495,0.4777777777777778,2
160,0.35,0.15,0.001,0.01,32,3,0.44082036076105763,0.4444444444444444,9
160,0.35,0.25,0.001,0.01,32,4,0.44082036076105763,0.4444444444444444,9
192,0.15,0.25,0.001,0.001,16,4,0.43978243978243975,0.5333333333333333,2
160,0.15,0.15,0.0003,0.01,16,2,0.4326530612244898,0.4888888888888889,5
