embed_dim,num_heads,ff_dim,num_layers,dropout,lr,weight_decay,batch_size,val_f1_macro,val_acc,best_epoch
256,8,2048,2,0.1,0.0003,0.01,32,0.40560930369699894,0.4222222222222222,9
512,4,1024,2,0.3,0.0003,0.001,32,0.402402957230323,0.4,26
256,4,2048,2,0.1,0.0003,0.001,64,0.3895628095162257,0.4,23
256,4,2048,2,0.1,0.0003,0.01,64,0.38595238095238094,0.3888888888888889,27
256,8,2048,2,0.3,0.0001,0.01,32,0.3818437289685536,0.37777777777777777,15
512,4,2048,2,0.1,0.0001,0.001,32,0.3808552156494782,0.4,18
512,4,1024,2,0.3,0.0003,0.01,32,0.38044874044874044,0.35555555555555557,16
512,8,1024,2,0.3,0.0003,0.01,32,0.37782042824059625,0.3888888888888889,21
512,4,2048,2,0.1,0.0001,0.01,32,0.37637488532629193,0.3888888888888889,28
512,8,1024,2,0.1,0.0003,0.001,64,0.3762313058165593,0.3888888888888889,21
512,4,1024,2,0.1,0.0001,0.001,64,0.3739348919644486,0.4111111111111111,9
256,8,1024,2,0.1,0.0003,0.001,32,0.3737329567539463,0.36666666666666664,17
256,8,2048,2,0.1,0.0001,0.01,64,0.37068882586123963,0.4,10
256,8,2048,2,0.1,0.0003,0.001,64,0.3701845310622689,0.36666666666666664,21
512,8,2048,2,0.1,0.0001,0.01,32,0.36992419999938797,0.3888888888888889,12
256,8,2048,2,0.3,0.0003,0.001,32,0.36980002588297517,0.3888888888888889,21
512,8,1024,2,0.1,0.0003,0.01,64,0.369183544624683,0.37777777777777777,19
256,4,2048,2,0.1,0.0003,0.001,32,0.36888549772732676,0.36666666666666664,13
512,4,1024,2,0.1,0.0003,0.01,32,0.3679381953450277,0.37777777777777777,22
256,4,2048,4,0.1,0.0003,0.01,64,0.366160029229083,0.37777777777777777,14
512,4,1024,2,0.3,0.0001,0.001,32,0.3648239474401861,0.37777777777777777,15
512,4,1024,2,0.1,0.0003,0.001,32,0.3628754816498207,0.37777777777777777,15
512,4,1024,2,0.1,0.0001,0.001,32,0.3615547798066595,0.37777777777777777,26
512,4,1024,2,0.3,0.0001,0.01,32,0.36059561242823,0.37777777777777777,11
256,4,1024,4,0.1,0.0003,0.01,32,0.3586006336006336,0.3888888888888889,18
256,4,2048,2,0.1,0.0003,0.01,32,0.35831270439210167,0.36666666666666664,13
256,8,2048,2,0.1,0.0003,0.01,64,0.3582687567780735,0.36666666666666664,18
512,8,1024,2,0.1,0.0003,0.001,32,0.35786191264452133,0.35555555555555557,22
256,8,2048,2,0.1,0.0003,0.001,32,0.3574533023911906,0.36666666666666664,13
512,8,2048,2,0.1,0.0001,0.001,32,0.3574170927112103,0.36666666666666664,28
512,4,1024,2,0.1,0.0003,0.01,64,0.35723110481731174,0.37777777777777777,29
256,4,1024,2,0.1,0.0003,0.01,64,0.357197660220916,0.3888888888888889,9
512,4,2048,2,0.1,0.0003,0.01,64,0.3565540490549624,0.35555555555555557,14
512,8,2048,4,0.3,0.0001,0.01,32,0.35646660058674984,0.3888888888888889,28
256,4,2048,2,0.3,0.0001,0.01,32,0.35506562445067985,0.3888888888888889,15
512,8,1024,2,0.3,0.0003,0.001,32,0.35494646134315794,0.4,7
256,8,2048,2,0.3,0.0003,0.001,64,0.35447878075961564,0.36666666666666664,17
512,4,1024,4,0.1,0.0001,0.01,32,0.3540634831007502,0.35555555555555557,28
256,4,2048,2,0.3,0.0003,0.001,64,0.3534424576374278,0.35555555555555557,10
512,4,1024,4,0.1,0.0001,0.001,32,0.35343061726662545,0.35555555555555557,26
256,8,2048,2,0.1,0.0001,0.001,64,0.3533691993550773,0.3888888888888889,11
256,4,2048,2,0.3,0.0003,0.01,64,0.3532393880463164,0.35555555555555557,18
256,8,1024,4,0.1,0.0003,0.001,32,0.35256110541382546,0.37777777777777777,11
256,8,2048,2,0.3,0.0001,0.001,32,0.35108888857085613,0.36666666666666664,15
512,4,1024,2,0.1,0.0003,0.001,64,0.3510017340269442,0.36666666666666664,20
512,8,1024,2,0.1,0.0003,0.01,32,0.3500865800865801,0.34444444444444444,15
256,8,1024,2,0.1,0.001,0.001,64,0.34922461998548954,0.34444444444444444,22
512,4,2048,2,0.1,0.0003,0.001,64,0.3489667775382061,0.36666666666666664,13
256,8,1024,4,0.3,0.0003,0.01,64,0.34837767175413614,0.35555555555555557,8
512,4,1024,2,0.1,0.0001,0.01,32,0.3482519142922869,0.35555555555555557,23
256,4,1024,2,0.1,0.001,0.001,64,0.34782590115842604,0.34444444444444444,20
512,8,1024,4,0.1,0.0001,0.001,64,0.347804576376005,0.35555555555555557,13
512,8,2048,2,0.1,0.0001,0.001,64,0.3476141846218573,0.36666666666666664,23
256,8,1024,2,0.1,0.0001,0.001,64,0.3474885607890534,0.4,13
256,4,2048,4,0.1,0.0001,0.001,64,0.34741861080096376,0.36666666666666664,9
256,8,1024,2,0.3,0.001,0.01,32,0.34712858300898164,0.3888888888888889,30
512,4,1024,2,0.3,0.001,0.01,64,0.34700703559130114,0.35555555555555557,22
256,8,2048,4,0.1,0.0001,0.01,32,0.346867758961292,0.3888888888888889,7
512,4,1024,2,0.1,0.0001,0.01,64,0.34674701764763877,0.3888888888888889,6
512,8,1024,4,0.1,0.0001,0.01,32,0.3467016327547636,0.34444444444444444,21
512,8,2048,2,0.1,0.0003,0.01,64,0.346265172735761,0.34444444444444444,11
256,4,1024,2,0.1,0.001,0.001,32,0.3460494092752157,0.34444444444444444,29
256,8,1024,4,0.1,0.0003,0.01,32,0.34522721825857705,0.37777777777777777,14
256,8,1024,4,0.1,0.0001,0.01,32,0.3446018893387314,0.36666666666666664,12
256,8,1024,2,0.3,0.0003,0.01,64,0.3442968625973552,0.36666666666666664,25
256,8,1024,4,0.1,0.0001,0.001,64,0.34393202668730194,0.37777777777777777,13
256,8,2048,2,0.1,0.0001,0.01,32,0.3438994196121163,0.34444444444444444,22
512,4,1024,2,0.3,0.0003,0.01,64,0.3432190825047968,0.35555555555555557,15
512,4,1024,2,0.3,0.0001,0.01,64,0.3432158584034852,0.37777777777777777,16
512,8,2048,4,0.1,0.0003,0.01,32,0.34284434281112025,0.35555555555555557,24
256,4,2048,2,0.1,0.001,0.01,32,0.34283265963390186,0.3888888888888889,27
256,4,1024,2,0.1,0.0003,0.001,64,0.3422454474178612,0.34444444444444444,15
256,8,1024,4,0.1,0.0001,0.001,32,0.34203773551118893,0.36666666666666664,12
512,4,1024,2,0.3,0.0001,0.001,64,0.34203329525910176,0.34444444444444444,24
512,4,2048,2,0.3,0.0003,0.001,32,0.34196783694320637,0.34444444444444444,25
256,8,1024,2,0.3,0.0001,0.001,64,0.3415057915057916,0.4,20
256,4,2048,4,0.1,0.0001,0.01,32,0.34139840971042307,0.35555555555555557,17
256,8,1024,2,0.1,0.0003,0.01,32,0.34098830715372064,0.34444444444444444,12
256,8,1024,4,0.1,0.0001,0.01,64,0.34071702948734234,0.36666666666666664,13
512,8,2048,4,0.3,0.0001,0.001,32,0.3402070605337393,0.37777777777777777,12
256,8,1024,2,0.1,0.0003,0.01,64,0.3400060084842694,0.35555555555555557,13
256,8,1024,2,0.1,0.0001,0.001,32,0.3395150566369054,0.37777777777777777,6
256,8,1024,2,0.1,0.0001,0.01,64,0.3391390540439634,0.37777777777777777,9
256,4,1024,2,0.3,0.0001,0.01,32,0.33755568103394185,0.36666666666666664,10
256,4,2048,4,0.3,0.0003,0.001,32,0.33732838589981445,0.35555555555555557,20
512,8,1024,2,0.1,0.0001,0.001,64,0.3373165149027218,0.36666666666666664,7
512,8,1024,2,0.3,0.0001,0.01,32,0.33721802122423244,0.36666666666666664,14
256,4,1024,2,0.1,0.0001,0.001,32,0.3371616836091916,0.36666666666666664,14
256,4,1024,2,0.3,0.0001,0.001,32,0.3369267747078841,0.36666666666666664,10
512,8,2048,4,0.1,0.0001,0.001,32,0.33683126241949773,0.35555555555555557,18
512,8,1024,2,0.3,0.0001,0.001,64,0.33663738179867203,0.37777777777777777,13
256,4,2048,2,0.1,0.0001,0.001,32,0.3362502183685577,0.35555555555555557,11
512,4,1024,4,0.1,0.0001,0.001,64,0.3359839895554181,0.36666666666666664,7
256,4,1024,2,0.1,0.0001,0.01,32,0.3358112475759535,0.36666666666666664,14
256,4,2048,4,0.3,0.0003,0.001,64,0.33564007421150277,0.35555555555555557,17
256,8,2048,4,0.3,0.0003,0.001,32,0.33560506430688986,0.37777777777777777,14
256,4,2048,4,0.1,0.0001,0.001,32,0.3350453325142766,0.34444444444444444,18
256,8,2048,2,0.3,0.0001,0.01,64,0.3343595696536873,0.35555555555555557,10
256,4,2048,2,0.1,0.0001,0.001,64,0.3337488556843396,0.34444444444444444,21
256,8,2048,4,0.1,0.0001,0.001,32,0.3335050357428874,0.37777777777777777,11
512,8,1024,2,0.3,0.0003,0.01,64,0.333409720163369,0.37777777777777777,8
256,8,2048,4,0.1,0.0001,0.01,64,0.3331622707562557,0.4,8
512,4,2048,4,0.1,0.0001,0.01,64,0.3329100529100529,0.34444444444444444,22
256,8,1024,2,0.1,0.0001,0.01,32,0.3328397696364448,0.36666666666666664,6
512,8,1024,2,0.1,0.0001,0.001,32,0.33272785415642564,0.35555555555555557,8
512,4,1024,4,0.3,0.0001,0.01,32,0.33248980209786483,0.36666666666666664,12
512,4,2048,2,0.3,0.0003,0.01,32,0.33246990192803,0.34444444444444444,14
256,8,1024,4,0.1,0.0003,0.01,64,0.332195432895797,0.35555555555555557,7
256,8,2048,4,0.1,0.0003,0.01,64,0.3317251129362931,0.3333333333333333,16
256,4,2048,2,0.1,0.0001,0.01,32,0.33146091657888394,0.35555555555555557,11
512,8,2048,4,0.1,0.0003,0.001,32,0.3313177872216774,0.35555555555555557,16
512,4,2048,4,0.1,0.0001,0.01,32,0.3312450058327289,0.34444444444444444,15
512,8,1024,4,0.3,0.0003,0.001,32,0.33073973645402216,0.35555555555555557,13
256,4,2048,2,0.1,0.0001,0.01,64,0.33064713064713064,0.34444444444444444,20
512,8,2048,2,0.3,0.0003,0.001,32,0.3306122448979592,0.37777777777777777,13
256,4,2048,4,0.3,0.0001,0.01,32,0.3303729518563278,0.34444444444444444,18
512,4,2048,2,0.3,0.0001,0.01,64,0.3300835215802156,0.35555555555555557,11
256,4,1024,2,0.3,0.0003,0.001,64,0.3298317831987839,0.3333333333333333,22
512,4,1024,4,0.3,0.0001,0.01,64,0.3296939988116459,0.37777777777777777,11
256,8,2048,2,0.1,0.0001,0.001,32,0.3292462146148782,0.34444444444444444,19
256,4,2048,2,0.3,0.0001,0.001,32,0.3285849543183332,0.36666666666666664,13
512,8,1024,4,0.3,0.0001,0.001,64,0.3285145963644949,0.36666666666666664,17
512,8,2048,4,0.1,0.0001,0.01,32,0.328507271063662,0.3333333333333333,12
512,4,1024,4,0.3,0.0001,0.001,64,0.3283754471688341,0.37777777777777777,11
256,8,1024,2,0.3,0.0001,0.01,64,0.32735893502700225,0.37777777777777777,15
256,4,1024,2,0.3,0.0003,0.01,64,0.327148817484952,0.3333333333333333,22
512,8,1024,2,0.3,0.0001,0.01,64,0.32646506932221214,0.36666666666666664,13
