embed_dim,dropout,modality_dropout,lr,weight_decay,batch_size,num_layers,val_f1_macro,val_acc,best_epoch
224,0.35,0.15,0.0003,0.001,64,4,0.7068056007815043,0.6813186813186813,11
160,0.35,0.15,0.001,0.01,32,3,0.7019362342638206,0.7142857142857143,6
192,0.25,0.15,0.0001,0.0001,16,3,0.6971410941999178,0.6813186813186813,19
160,0.25,0.25,0.001,0.001,32,4,0.6945054945054946,0.7142857142857143,6
160,0.35,0.25,0.001,0.01,32,4,0.690782059950417,0.7032967032967034,13
224,0.25,0.15,0.0001,0.01,32,2,0.6899580486635503,0.7032967032967034,11
160,0.15,0.15,0.001,0.0001,32,2,0.6848003173388868,0.6923076923076923,5
160,0.25,0.15,0.0001,0.01,32,4,0.677959077959078,0.6593406593406593,18
160,0.15,0.15,0.0003,0.001,32,4,0.6769883546638994,0.6813186813186813,12
224,0.25,0.0,0.001,0.001,64,4,0.6744588744588745,0.7032967032967034,11
160,0.25,0.15,0.0003,0.01,32,4,0.6647347794888778,0.6923076923076923,5
160,0.15,0.15,0.0003,0.0001,32,3,0.6630977965917725,0.6483516483516484,9
192,0.15,0.15,0.001,0.01,32,3,0.6628205128205128,0.7032967032967034,11
192,0.25,0.25,0.001,0.01,32,4,0.6617263695196427,0.6923076923076923,11
192,0.15,0.25,0.001,0.001,16,4,0.6574886330983891,0.6483516483516484,9
160,0.15,0.15,0.0003,0.01,16,2,0.6518288474810213,0.6593406593406593,6
224,0.25,0.0,0.0003,0.01,16,2,0.6510495223730518,0.6703296703296703,5
192,0.15,0.25,0.001,0.01,32,3,0.6480809830563525,0.6593406593406593,9
192,0.15,0.25,0.001,0.0001,32,4,0.6480809830563525,0.6593406593406593,9
160,0.25,0.25,0.0003,0.0001,64,2,0.6444274268329531,0.6813186813186813,12
192,0.15,0.25,0.0001,0.01,64,3,0.6358878504672897,0.6703296703296703,21
224,0.25,0.0,0.0003,0.01,32,2,0.6331982438365418,0.6483516483516484,7
192,0.25,0.0,0.0003,0.01,32,3,0.6148721255104234,0.6483516483516484,14
160,0.15,0.0,0.001,0.0001,64,4,0.5029951690821256,0.5824175824175825,2
